id,embedding,reduced_embedding
1760,"[-2.29797459 -2.51761794 -3.8206327   1.65896881  0.36383438 -0.64056045
  3.29980803  0.06764422 -1.402107   -1.1592989  -1.58692765 -2.59393573
 -2.94049716 -1.25747979 -2.72728801 -1.12945509]",[ 9.096995 24.496403]
1825,"[-2.30919313 -2.28720856 -2.09383488  2.40105033  2.48046255 -0.39191347
  2.86563993 -1.07481444 -1.56540442  1.16765392 -0.36750925 -2.9751792
 -3.93504405  0.66786665 -3.20352483  1.02741718]",[-11.429025 -16.890985]
1746,"[-2.70651269  2.61984348 -3.56811404  2.25220323 -0.1198231  -1.25178063
  2.0498755   0.53441322 -4.48166513  1.7727288  -0.01230013 -1.72643983
 -4.45390987  0.06084673 -3.09240103  1.19222784]",[-21.703577    1.1706915]
1844,"[-1.69408989  0.41295403 -4.48630714  2.80950284  1.06881869 -0.66576922
  2.11625028  0.57534474 -3.74360013 -0.39835471  0.0437125  -1.34877002
 -5.54716587 -0.35073802 -1.47550142  1.10856664]",[-13.825324    0.6025676]
2112,"[-3.17385745 -1.34085512 -3.55533719  1.95422864  1.47805214  0.38764396
  2.50567985  0.13392849 -1.13346255 -2.20294642 -1.86643946 -2.08906031
 -3.63004017  0.0405348  -3.92151427 -0.7230047 ]",[ 5.209263 28.688627]
1597,"[-0.59153211 -1.82210314 -2.6892755   3.37682223  1.31075871 -1.23542452
  3.86272526 -2.67062092 -2.76446891  1.17971992 -2.81769323  0.70638138
 -3.63679695  2.07459164 -1.1466769   0.27360114]",[ 7.4718375 -9.212183 ]
1852,"[-2.1937449  -0.61184496 -3.04777956  2.79821754  2.15660095 -0.94756937
  2.73013163 -0.52294165 -2.574615    0.01661443 -0.33832332 -1.04924452
 -4.729527    1.02215731 -1.32913685  1.06615996]",[-6.960276  -5.7075844]
1941,"[-2.07000113 -1.93120289 -1.87156034  2.43957853  2.41522479 -1.00378454
  3.05446005 -2.06643295 -1.3866564   1.58735502 -0.73713183 -2.94878983
 -3.88283253  0.55612546 -2.83171082  1.16316891]",[-11.087201 -16.797213]
1707,"[-2.70169926 -1.17732561 -3.45951962  2.12720942  2.15664339  0.0904127
  2.32418132  0.17963837 -1.57351065 -2.48481774 -2.45937276 -1.49080598
 -4.22058058  0.48112226 -2.82616925 -0.56101155]",[ 3.1534302 26.77576  ]
1646,"[-0.7042262  -2.38531184 -3.16741776  2.95857334  2.06313276 -1.21184373
  3.00666475 -1.95723939 -2.18739772 -0.49646696 -1.75255311 -0.91472971
 -4.18969584  0.91081136 -0.44474778  0.03227856]",[-2.9597914 -4.28763  ]
2151,"[-2.52616358  1.80857205 -3.31994843  2.68224907 -0.44267827 -1.28491604
  2.11291122  0.66684383 -4.14408016  0.72932869 -0.17615645 -2.35169244
 -4.9224844   0.16693825 -2.69943953  1.12735069]",[-20.086912    1.2638284]
1823,"[-1.92375779 -0.88538522 -2.1404016   2.46466947  1.68800879 -1.01184475
  2.95385933 -1.5464015  -1.98354197  2.10999179 -0.34388196 -3.16889358
 -4.22585535  0.15680632 -2.95307517  1.11717355]",[-12.357869 -15.871845]
2198,"[-2.36235023 -2.83877873 -3.54525661  2.47765684  1.37025511  0.00773878
  2.86489892 -1.18516922 -0.92147917 -2.1858139  -2.6850245  -2.10284472
 -3.52891874 -0.34887722 -3.44363451 -1.44980693]",[11.062708 26.858507]
1858,"[-1.98530924 -0.94476473 -3.0975821   2.59191465  0.776133   -1.41007197
  3.3959136  -0.77991688 -2.98183274  0.60386258 -0.54719508 -2.12859416
 -4.44065142  0.10697263 -1.18402839  0.27647999]",[-6.6345186 -7.802407 ]
2161,"[-2.35149264 -1.11593223 -0.9642539   2.4559772   1.9523232  -1.10421705
  4.2567606   0.77641189 -1.72484839  2.3427422  -0.96917641 -0.91709888
 -4.30392551  1.79814565 -2.37955713  0.19361103]",[ -5.345991 -16.031918]
2278,"[-2.09034157  1.13071418 -4.01796198  1.53477764 -0.05415804 -0.72118735
  2.5314672   1.69849277 -3.49520922 -0.03460399  0.37074256 -2.4254849
 -4.47774649 -0.38388014 -2.7844708   0.87051553]",[-18.989838    2.8353684]
1861,"[-1.83583713 -1.38370275 -2.51696277  2.75031066  0.80662709 -1.26253676
  3.30126023 -1.58896661 -2.25752616  0.10876192 -1.18912959 -1.16337502
 -4.29825878  0.54367292 -1.59658229 -0.13029492]",[-3.121995 -8.054379]
1763,"[-1.76569021 -2.25222754 -2.36060357  2.62219596  2.01709819 -1.09008682
  2.73244953 -1.35189128 -1.91034567 -0.0522716  -1.54080486 -1.87742484
 -3.73344564  0.5110358  -2.156533    0.35029987]",[-2.3714643 -6.970773 ]
1634,"[-1.06555259 -0.24445209 -3.91993904  3.1002419   1.87986743 -0.54221952
  2.01623702 -0.54834652 -3.27312231 -0.09461597 -0.48153192 -0.95311803
 -5.7557354   1.77496552 -0.29350373  1.93838155]",[-9.013268  -2.7948654]
1903,"[-3.39998579 -1.94600987 -2.89898467  1.94900095  1.17730057  0.33459991
  2.8977232  -0.35266146 -0.28025246 -1.4878366  -1.91988313 -3.15336418
 -3.04958773  0.07780123 -4.95572042 -1.07043862]",[15.396598 25.744799]
1886,"[-2.34426594 -2.59513545 -3.47902441  2.57281923  1.10236478 -0.16609222
  2.71978617 -1.05327046 -0.83601421 -2.14324093 -2.59539628 -2.48737025
 -3.16452432 -0.77187777 -4.07765055 -1.19745123]",[11.0218525 27.806622 ]
2226,"[-0.30422339 -1.2193445  -2.73125529  3.8026185   1.39121473 -1.8732084
  3.83878279 -3.23440027 -2.87710166  2.51966619 -2.30775213  0.75796133
 -3.25934243  1.40948689 -1.16903818  0.26680335]",[  8.203835 -10.374173]
