id,embedding,reduced_embedding
1679,"[-1.83197153 -0.4362168  -3.16182685  2.53538108  1.54346669 -1.65851343
  2.93509364 -0.89648628 -3.29031134  0.12687558 -0.82302469 -1.71978974
 -5.41990519 -0.02409233 -0.82804579  0.4409987 ]",[-7.631455  -6.7526436]
1758,"[-1.97510219 -2.56004834 -3.77972269  1.60898805  0.36622727 -0.45999658
  3.46199274 -0.52867305 -1.05398583 -1.12667179 -1.58105659 -2.18906426
 -3.29098296 -1.36363745 -2.94705153 -1.18216419]",[ 9.307828 24.70108 ]
2148,"[-2.51306152 -1.68267679 -1.55025721  2.64838052  2.2259109  -1.56796408
  3.95649695 -0.34774524 -1.07463825  1.73321283 -0.5567137  -1.67394805
 -4.08716583  1.05400765 -1.48925757  0.22039381]",[ -5.571208 -13.615193]
1860,"[-1.59536803 -0.02272776 -3.43357778  2.75692534  0.92005056 -1.61991918
  2.74887967 -0.91264391 -3.30888748  0.58592045 -0.56941271 -1.68302751
 -4.68738651 -0.2745876  -0.84432596  0.36243671]",[-7.9217877 -7.1963816]
2070,"[-1.94478178 -0.05685893 -2.96534181  2.35918522  2.60293746 -1.93503022
  3.38562942 -3.71728754 -2.08692789  1.43306661 -2.26169181  0.91291583
 -3.21807671  1.96149242 -2.5384376   0.10822751]",[ 9.856092  -7.4832444]
1690,"[-3.17172408 -1.64428782 -2.92152381  1.9007597   0.90925121  0.20355089
  2.94936943 -0.56575507 -0.04500641 -1.66987622 -2.17314529 -3.06238174
 -3.41067576 -0.13306583 -4.87964773 -1.06935549]",[15.770698 25.852057]
1953,"[-1.77849734 -3.31663203 -3.60229611  2.25121212  0.97093993  0.01681302
  2.90334439 -1.36295247 -0.36051545 -1.52241695 -2.06733155 -3.20390892
 -2.80003142 -1.24843609 -4.14909124 -1.74210107]",[14.560046 32.466877]
2104,"[-2.49116778 -1.63098967 -2.18456125  2.98422027  1.56277406 -2.06502223
  3.66993451 -0.8748064  -2.17315674  1.43603897 -1.08847618 -1.77778137
 -3.95678639  0.74169725 -1.20066917  0.28655535]",[ -5.135244 -12.448276]
2176,"[-0.98536557 -0.99697363 -4.92477036  4.28244925 -0.69295532 -0.15451272
  1.7385416  -4.48912716 -1.54676092  0.13854639 -4.38717508 -0.30252844
 -0.56554389  1.17742991 -4.81443882 -1.51765859]",[15.005588   2.0523458]
2192,"[-1.90761757 -0.34870675 -4.78819227  3.35330749 -0.36687809 -1.13895941
  2.33662605  1.18302226 -3.5198915  -0.89029771 -0.84708655 -1.07952034
 -4.67885923  0.09435429 -0.91596836  0.41381183]",[-12.366778   4.12588 ]
1890,"[-2.75727391 -2.57366443 -3.228791    1.89317775  1.32160401  0.57383448
  2.86689925 -0.6448887  -0.23942891 -2.06991577 -2.14189863 -3.08706784
 -3.45896578 -0.14223292 -4.08448601 -0.73659778]",[13.828616 27.093714]
1845,"[-1.69136918  0.94960046 -4.2330842   2.78923416  1.47553515 -0.71796513
  1.81160235  0.61362821 -3.94653893  0.04076411  0.25446942 -1.41204715
 -5.66278696  0.98327667 -1.2783612   1.71482885]",[-13.958104    -0.77328634]
2189,"[-1.73473537 -0.36673555 -4.19047308  1.98771453  0.55755448 -1.00301754
  2.10330272  0.23397745 -2.70722842 -0.53240985 -0.72685301 -1.95359921
 -4.3580575  -0.73358184 -1.53373039  1.07750213]",[-10.024488    2.8416908]
2073,"[-1.41787457 -0.01562287 -2.97581935  3.42325711  0.79257941 -2.18125486
  3.95142579 -1.22761965 -3.30466962  1.78117228 -1.26861537  1.48506486
 -4.08768702  1.30778039 -1.17037582  0.59430981]",[  6.9620533 -12.946563 ]
1934,"[-2.11824703 -2.87934422 -3.23389268  2.29709792  0.92937845 -0.21678492
  3.12043142 -0.91812116 -1.17694068 -1.70804501 -2.33315277 -1.75146508
 -3.43623447 -0.53737086 -3.12818837 -1.49510455]",[10.317186 26.313078]
1921,"[-1.25970304 -1.09095359 -2.49605823  3.06471324  2.83855605 -0.9715026
  2.6237855  -2.97194862 -3.05696177  0.26456416 -1.97965789 -0.40244389
 -4.70729017  2.32389235 -0.90636778  1.01178062]",[ 6.077504  -7.3705506]
1790,"[-2.77398849 -1.25572622 -1.76481557  2.90594149  2.09096241 -1.7580651
  3.43420339 -0.63181734 -2.24811864  1.12589252 -0.81765109 -1.03815579
 -3.67615867  1.16506612 -1.84594011  0.77341133]",[ -6.317706 -12.302599]
2197,"[-2.19794178 -1.98441553 -1.52841043  2.69265842  2.64332247 -1.32231998
  3.14794087 -3.01632357 -1.82355309  0.76880974 -2.03752041 -1.22906291
 -3.6608696   1.85180247 -2.50750589  0.68839747]",[ 6.5434775 -4.1075854]
1594,"[-2.39989853 -1.30614758 -2.88188648  2.87643695  0.88651377 -2.47618985
  4.14053631 -0.78625143 -1.74413919  0.2829147  -1.18415594 -0.26418543
 -4.05593586 -0.24363518 -1.16303051 -0.14147772]",[ -4.092821 -10.670956]
1918,"[-2.37084103  0.63182938 -3.18162131  3.12008643  1.59867322 -1.52014804
  2.46831107 -0.85334158 -3.63128853  0.86430758 -0.62140989 -0.9613353
 -4.51935434  1.11704576 -1.27468932  1.5327971 ]",[-9.3515625 -5.824128 ]
1813,"[-2.46956205  2.23862243 -3.76147389  3.16668725  0.19845162 -1.28631103
  1.90861273  0.20540814 -4.22277021  1.58399403  0.01705324 -1.99329925
 -5.09339142  0.33945993 -2.60680652  1.73189986]",[-2.1106422e+01  9.6296007e-04]
1697,"[-1.09804797 -0.62779588 -2.93216801  2.97502613  2.81469488  0.1130703
  2.90792918 -2.38305688 -2.67118025  0.36074674 -2.84232831  0.44614929
 -4.65825367  3.26569247 -2.14971375  1.08246088]",[ 6.1629453 -6.709774 ]
1793,"[-1.76404655 -0.12753199 -3.36400151  2.86818838  1.58470917 -1.57170963
  2.76651359 -1.15470517 -3.33046412  0.54260498 -1.12273681 -1.54475868
 -4.86634922  0.89046168 -0.92116702  1.02153754]",[-8.302188  -5.9006763]
1708,"[-1.72309256 -3.20022678 -4.29090929  2.3023634   0.25251848 -0.28581983
  2.66168857 -1.45615315 -0.48311624 -1.38427567 -2.34188414 -2.83862066
 -2.66462326 -1.3373549  -3.73906088 -2.01200318]",[13.386835 34.266247]
2194,"[-2.03102708  0.69029385 -4.72923517  3.40361285  0.67381757 -0.70808685
  2.07172775  0.40591773 -4.22656012 -0.55688465  0.22248209 -1.61132324
 -5.26055956  0.04729488 -1.4500457   1.4561348 ]",[-13.630118     0.84385854]
2236,"[-1.22001207 -0.10086612 -3.01206613  2.90740561 -1.10554171 -1.34302163
  3.4467752  -0.72203249 -1.9383595   1.61439025 -1.20186067 -0.85740745
 -2.19656134  0.16391006 -2.79309225 -0.66759151]",[  0.73159426 -15.4687195 ]
2118,"[-1.95634699  0.01637107 -4.31389523  3.01012325  0.41175431 -0.64673841
  2.43344235  0.52793735 -3.8722384  -0.41602737  0.01175339 -1.72261333
 -5.45571852 -0.12109495 -1.74054813  1.2099973 ]",[-13.925125    1.3271606]
1828,"[-2.01044893 -0.1834891  -1.61583197  2.11980391  1.39513254 -1.07084751
  2.90893936 -0.41499123 -2.64295793  1.77297974 -0.27067786 -3.18004203
 -4.98701048 -0.09383104 -2.75733185  0.55168349]",[-13.056243 -14.241035]
1655,"[-1.65739381 -0.91808969 -3.91556144  1.94284046  2.21530199 -0.54911816
  2.56243825 -0.91798341 -2.22323895 -1.55950403 -1.10845149 -1.12590528
 -4.98216963  0.81932431 -0.86903733  0.5108788 ]",[-6.835485  -2.4097176]
1710,"[-2.60837603  0.3042663  -3.87830925  2.73626542  1.15087259 -0.27193198
  1.80617201  0.82233065 -2.8053534  -1.66593754 -1.5321666  -1.86690295
 -4.85915852  0.78215373 -2.41702628  0.58958608]",[-10.136306    1.4797775]
1725,"[-2.69777703 -0.8032921  -2.70458102  3.19537401  1.16131794 -2.36608791
  4.08897209 -0.20521234 -1.80364776  1.30240047 -0.39265934 -0.71217167
 -3.63517976  0.36456907 -1.34680438  0.33319306]",[ -4.9713655 -11.2434845]
2157,"[-2.18712831 -0.83490169 -2.13268661  3.35515332  0.89620382 -1.2930268
  3.62829781  0.02804687 -2.64276361  2.14005423 -1.04674768 -0.75496233
 -4.05763292  1.30707753 -2.53859663  0.59444797]",[ -6.101358 -15.207236]
1803,"[-1.3206954  -1.74271524 -3.22587824  3.46222901  1.66006351 -1.25026047
  2.6190455  -1.95561516 -2.52198315 -0.43107095 -1.53262162 -1.26899529
 -4.43383026  0.64472359 -0.52385199  0.64366174]",[-3.9780064 -3.7918088]
1964,"[-2.14680886 -3.11432219 -3.67758822  2.55594516 -0.1133333   0.05042432
  2.68587661 -1.16920006 -0.76154792 -1.27814353 -2.40201139 -3.26873732
 -2.76894927 -0.92139405 -4.20187759 -1.49801886]",[12.388112 32.430946]
1691,"[-2.53844571 -2.32696271 -3.03551149  2.0920527   1.59296405 -0.78075027
  3.15176368 -1.65351725 -0.99540693 -0.70669508 -2.0282023  -2.53503871
 -3.39691377 -0.48410222 -3.37665629 -0.01497253]",[11.496593 24.227253]
1949,"[-1.78190637 -0.9881978  -3.68472481  3.25794888  0.99508154 -1.16528583
  2.53071547 -0.94122446 -2.91301942 -0.22929576 -1.2061795  -1.95560062
 -4.49466228  0.32423598 -0.65600121  0.54593807]",[-5.1970925 -2.2290852]
1862,"[-2.41367292 -1.52240884 -1.94408238  2.93136907  1.63221169 -1.86200452
  3.52137518 -0.68477184 -1.92605805  1.36026406 -0.77291197 -1.92176759
 -4.04789829  0.68242705 -1.30432081  0.43312168]",[ -5.4970827 -12.590544 ]
2279,"[-0.4080146  -0.55177319 -3.31750917  2.57769561  0.03545338 -1.29155195
  4.49317598  1.03222275 -3.59017277 -0.18695895 -2.76227427  0.25277019
 -3.1788795   0.91053283 -1.56641638 -0.60548133]",[  4.3615217 -16.773703 ]
2267,"[-0.40913928 -1.42451    -2.81132984  2.60586262  1.12617207 -1.4877305
  3.83861685 -2.41354418 -1.50626802  0.76914954 -1.56756532 -0.45950326
 -3.21040177 -0.01365419 -0.55815679 -1.01149309]",[ 0.40850216 -9.434496  ]
1802,"[-1.34340644 -2.31002545 -2.49636602  2.14994144  1.25882924 -1.10352695
  3.65083575 -1.55843103 -1.76863301 -0.06471652 -1.62230682 -1.04377699
 -3.94806242 -0.09585305 -1.35402167 -0.45298833]",[-1.3210975 -7.8393826]
2251,"[-2.14432096 -1.84557211 -3.78578138  2.45872855 -0.69672453  0.0888758
  3.07247758 -0.64442408 -0.81615847 -1.27632952 -2.62683201 -2.29049659
 -2.09225678 -0.93005258 -4.41601133 -1.88324881]",[10.763496 32.065002]
2064,"[-1.67368138 -0.59886032 -3.02575016  2.64072108  1.91556692 -1.84362483
  3.43318796 -3.89838958 -2.15766048  1.51862395 -2.35421777  1.24180555
 -2.81211185  1.81734121 -2.61078215  0.15480782]",[ 9.965633  -7.8249025]
1716,"[-2.24643588 -3.11590147 -3.07351899  2.10705805  1.97777808  0.25843194
  2.87122631 -0.27703989 -0.45708084 -2.23449421 -2.2764771  -2.56834102
 -3.95243096 -0.20614368 -3.3131299  -0.78166807]",[12.395946 26.295382]
1898,"[-2.72892904 -2.06059718 -2.43640971  2.09282088  0.0472476   0.36046681
  3.15867066 -0.07823808 -0.35924053 -0.39626446 -1.64327657 -2.56857967
 -3.26943874 -0.4862757  -5.25292826 -1.3835113 ]",[17.66822 25.74845]
1668,"[-1.09648919 -0.543024   -3.71519327  3.03301692  1.98940051 -0.95474505
  2.38016844 -1.65049839 -3.91031718 -0.44921544 -1.47413611 -0.49315491
 -5.05295944  1.01853073 -0.86829686  1.056669  ]",[-7.3887706 -3.6048336]
1929,"[-2.22057748 -1.52212393 -1.6663394   1.99324059  2.1568644  -0.99861056
  3.26691437 -1.45140564 -1.12696612  1.34703279 -0.73499334 -3.5880878
 -3.94520783  0.98353404 -2.50938177  0.71122485]",[-11.043604 -16.29428 ]
2168,"[-2.74532175  0.15032066 -1.17546773  4.39487362 -0.27571192 -1.19200766
  3.25596809 -0.86573434 -2.65538955  3.31226444 -2.81454182 -2.51576257
 -2.78563976  1.78623116 -4.60185337  0.00482594]",[ -2.7794616 -21.415936 ]
1800,"[-2.0361011  -0.15170743 -4.05704498  2.72361207  1.7549926   0.07439003
  2.38200808  0.19142713 -3.27558351 -0.5385654  -1.09704828 -0.76623487
 -5.24039745  1.61310995 -1.58974874  1.44243586]",[-10.177854   -1.7539506]
2253,"[-2.10915327 -0.67282343 -1.62831485  2.90623856  0.70093656 -1.51457417
  3.96389604 -1.15254116 -1.35954046  2.67523122 -0.61068428 -1.25540388
 -2.56040454  0.43707493 -2.80852675  0.19650336]",[ -2.5027113 -14.881524 ]
2077,"[-0.75202519 -1.43605316 -2.44848013  3.45198107  1.67206776 -1.41227317
  3.97360182 -2.47791743 -3.08994102  1.88330996 -2.62709856  0.60485923
 -3.62970734  2.27331185 -0.83877671  0.47819525]",[ 7.5794034 -9.479028 ]
2225,"[-0.25150687 -1.33973277 -2.32779932  3.28274465  0.59264147 -2.19979215
  4.04721308 -2.91397381 -2.58445764  2.38762379 -1.97572744  0.59535033
 -3.02917743  1.33097672 -1.0380621  -0.19541146]",[  7.7753377 -10.884533 ]
2235,"[-1.67488039  0.04683144 -3.07116032  2.77395725 -0.47156107 -1.35481966
  3.50599647 -0.42330647 -2.29545522  1.30008864 -1.23267245 -0.89170045
 -2.88816285  0.12459496 -2.55740428 -0.46714044]",[  1.188394 -15.441999]
2265,"[-0.99994224 -0.87467748 -3.27276683  2.76428413  0.25045499 -1.39451575
  3.94627452 -0.61792713 -2.8972497   0.67815977 -1.5943141   0.12781176
 -3.1970489   1.05944002 -0.8385663   0.14404972]",[  3.7563252 -13.351843 ]
2164,"[-2.42167091 -1.70859039 -1.30077028  3.02041507  0.66808313 -1.5274874
  4.43866348  0.26669493 -2.25542164  2.55339336 -0.94509399 -0.78071469
 -3.49518776  1.31934822 -2.66282868 -0.23684449]",[ -4.51816 -15.77127]
1786,"[-2.91031456 -1.22700155 -2.25427842  2.1040988   0.87116373 -1.86788011
  4.2046876   0.15188172 -0.98770094  0.47121158 -0.5273869  -1.29998517
 -3.52420402  0.75927204 -1.95346117  0.08339802]",[ -6.6618505 -13.176777 ]
1670,"[-2.29106522 -0.73168188 -2.53757334  2.50555778  1.0237875  -1.20248628
  3.01160073 -1.23401928 -2.74817753  0.22831479 -0.3911894  -1.8819083
 -4.48294067  0.58419174 -1.75158131  0.2920728 ]",[-5.4635925 -7.763421 ]
2255,"[-0.56597388 -2.43405318 -2.61010337  3.61224365  0.90045547 -0.92695957
  3.92236137 -3.14762926 -0.6795091   1.83439887 -2.68352342 -1.55605483
 -2.02288198  0.41003528 -1.87472999 -0.94833153]",[ 1.9604474 -9.148786 ]
1951,"[-2.40561223 -2.34363222 -3.24702454  2.19244456  0.32582563  0.26395994
  2.59491491 -0.85950136 -0.59483528 -1.07579422 -2.15067506 -3.33279228
 -2.98130369 -1.06597996 -5.04388094 -1.7137953 ]",[12.530167 30.409863]
2203,"[-2.00207949 -1.45275652 -2.35223651  3.10506153  1.49920714 -1.34504998
  3.22281313 -0.24150731 -2.57069492  0.75162423 -0.81664938 -1.96896541
 -4.91779947  0.2158893  -0.87816763  0.73517281]",[-6.1863093 -9.173064 ]
1896,"[-2.85749125 -1.91656172 -3.18119645  1.83209085  0.60942698  0.23421012
  2.89768243  0.0958323  -0.22217119 -1.99985206 -2.01008391 -3.14040923
 -3.3387723  -0.51923716 -4.75072241 -1.34479547]",[16.193445 26.873856]
1968,"[-2.44840097 -3.02166128 -3.96444869  2.25667787  1.01873994  0.40819144
  2.88430119 -1.52909636  0.24421918 -2.34000039 -2.60332298 -3.01369023
 -2.82467484 -0.67059505 -4.50983334 -1.60416651]",[15.852219 30.761814]
1847,"[-2.13219595  0.79155505 -4.36813927  2.78517389  0.76998454 -0.87646854
  2.31410265  0.52199566 -4.00811338  0.06455576  0.07370528 -1.73633242
 -5.33397245 -0.5765835  -1.64395308  0.82830763]",[-14.986261    1.1658823]
1915,"[-2.04328847  0.57050437 -4.47105455  3.24892378 -0.23984241 -1.14801013
  2.49116254  1.16547585 -3.896173   -1.12228394 -0.58148319 -1.21606863
 -4.8335247  -0.40377447 -1.29090643  0.01324496]",[-13.122611    3.7234674]
2119,"[-0.97740495 -2.09371567 -3.1285162   2.58109951  1.42790985 -1.43022299
  3.63097906 -2.78292203 -2.38189125 -0.10473396 -1.89990771 -1.29720902
 -4.02268314  0.11936928 -0.51751351 -0.78015029]",[-0.6113414 -7.754205 ]
2280,"[-0.15398785 -0.57681572 -2.69935679  2.45285869  0.1337063  -1.20420361
  4.79230452  1.41728461 -3.8380239  -0.00849897 -2.3013308   0.29266131
 -4.00780869  1.1371659  -1.20444894 -0.03405437]",[  4.4334826 -16.735447 ]
1734,"[-2.85295773 -2.07184052 -3.76436925  2.24950361  0.83326769 -0.37163624
  2.75834107  0.13275126 -1.5462501  -2.41038728 -2.36422849 -1.4145261
 -3.82748246  0.23321547 -2.51535106 -1.12628019]",[ 4.2402363 27.50475  ]
1973,"[-2.12063456 -3.34462833 -3.45730019  2.99368262  0.66311693 -0.34370816
  2.88562989 -1.72763276 -0.40922984 -1.1809119  -2.41078472 -3.63778281
 -2.41956449 -1.42049897 -4.48395586 -1.97137475]",[15.190129 34.11865 ]
2219,"[-2.81154251 -1.77521658 -3.29032636  2.87114978  1.3637563  -0.07741359
  2.82555866 -0.06067367 -1.13559294 -2.15338802 -2.23149586 -1.93167233
 -4.32051659 -0.43538579 -2.77791357 -0.79789257]",[ 4.6569858 26.973017 ]
1881,"[-3.03991532 -1.24572945 -4.04665136  2.02620053  0.43701345 -0.34543428
  2.45983148 -0.3367593  -1.43180037 -2.36043191 -2.3611064  -1.76884484
 -3.33025432 -0.90756524 -3.83356857 -1.52308059]",[ 7.395811 27.767508]
1885,"[-2.73949337 -2.28812051 -3.15785527  1.90186143  1.68881941 -0.04685643
  2.6891005  -0.69334155 -0.37129608 -1.56579745 -2.24328375 -2.80466676
 -3.38010454 -0.28240153 -4.14524078 -1.27787971]",[13.842655 26.886889]
1843,"[-2.19248486 -0.41458467 -1.69767654  2.08346152  1.57814407 -0.9489888
  3.0442009  -0.00709153 -2.60241199  1.37560666 -0.04274932 -2.94517684
 -5.06586027  0.73526329 -2.65800405  0.95428699]",[-13.695803 -14.293154]
2100,"[-1.81452918  1.11613941 -4.73088598  3.01831841  1.26331067 -1.04972243
  2.26613116  0.172049   -4.18853474  0.29574889  0.04259234 -0.70611912
 -5.63676977  0.29434407 -1.33805859  1.77846479]",[-14.3571825  -0.3103149]
1695,"[-3.00723886 -1.99675298 -3.60084009  2.20606208  1.22111189 -0.16990846
  2.5346067   0.35851061 -1.43577433 -2.54987478 -2.27896762 -1.33645642
 -4.01583815  0.31993729 -2.94060683 -0.71312475]",[ 3.9373646 27.344734 ]
1818,"[-2.6687057   2.08893681 -3.21784568  3.0316186   0.1297465  -0.90217286
  1.83125317  0.72881931 -4.24211788  1.01302433 -0.2702325  -2.20714378
 -4.74571371  0.58691782 -2.8764534   1.41944873]",[-20.51799     0.7895072]
2068,"[-1.85687494 -0.49063882 -2.49129868  2.75015521  0.94397724 -1.58053291
  3.73975587 -3.30748105 -1.8749795   1.92523038 -2.37532425  0.81931049
 -2.43478227  1.23341978 -3.44744754 -0.62060016]",[10.991815  -7.8364162]
1882,"[-2.61267614 -1.91053569 -4.20748615  2.49819684  0.5844723   0.18130307
  2.28204155 -0.2354105  -1.42819297 -2.7801795  -2.17637491 -2.07818794
 -3.7401762  -0.57925081 -3.48994946 -1.30822718]",[ 6.5694113 27.125004 ]
1621,"[-1.31816721  0.57751298 -5.27448606  3.26584935  0.61843395 -0.85566825
  2.31023598 -0.09089321 -4.50575352 -0.78744572 -0.88092399 -0.78419828
 -5.29336357 -0.46327701 -0.91271633  0.61991817]",[-12.666458    1.9719172]
1622,"[-1.94375825  0.59596497 -3.05364585  3.19161773  0.60288483 -0.63252509
  2.31774449 -0.21682696 -3.58865833  0.45757952  0.10727034 -2.407547
 -5.08315897 -0.12562849 -2.10125422  0.79158998]",[-17.154406   -0.0293566]
1865,"[-0.86836702 -1.27158511 -4.00488281  3.04842019  2.48878765 -0.74608433
  2.57334781 -1.71846128 -3.057796   -1.01560426 -1.82678068 -0.93390328
 -4.70904541  0.73873061 -0.30867878  1.07674217]",[-5.7527494 -3.4476032]
2169,"[-2.99079299  0.35831025 -0.92359948  3.23413515  0.28209245 -1.07252347
  3.16413307 -0.70086688 -1.94929552  3.2787056  -2.34160852 -2.47711205
 -2.34532762  2.82698631 -4.61503363  0.53293592]",[ -3.8140483 -21.443605 ]
2227,"[-0.59342015 -0.92175895 -2.79204512  3.42370105  2.04824924 -1.93341303
  3.75241566 -2.88446951 -2.54825926  1.65973032 -1.85165715  1.28232026
 -3.87642884  2.38938594 -0.57992661  0.63605368]",[ 8.265455 -9.397395]
2162,"[-1.98645425 -1.35215795 -0.95889437  2.61435008  1.24475181 -1.14612627
  4.06134224 -0.08983953 -2.57759404  2.02138066 -0.58782172 -0.68570822
 -4.43912315  1.9677459  -2.02121305  0.35424086]",[ -5.5321484 -15.688606 ]
2159,"[-2.15934777 -2.30199766 -0.8217411   2.78163958  0.83742315 -1.41497052
  4.84902239  0.31729415 -1.81147194  2.44317842 -1.24125624 -0.95047367
 -3.54982376  1.07045186 -2.80439734 -0.49563918]",[ -4.3276057 -15.951674 ]
2062,"[-2.16080523 -0.24763323 -2.79556561  2.31238914  1.99801874 -2.0089879
  3.87998128 -3.10338593 -1.4136101   1.49095416 -2.24478149  1.15118015
 -2.62717819  2.02528882 -2.70072627 -0.15350023]",[10.373406  -7.5308847]
2117,"[-2.14637756 -0.28405282 -2.76413131  3.11825061  1.48034608 -1.79550564
  3.0738461   0.09471481 -2.70899105  0.7183671  -0.86091596 -0.49214384
 -4.57288218  0.79443377 -1.37479806  0.71428883]",[-7.1878185 -9.848351 ]
1817,"[-2.56678009  2.05979538 -4.00758362  2.88086128  0.44045526 -1.21288991
  1.48004401  0.36053905 -4.38830757  0.85479778 -0.11093301 -1.91043591
 -4.94249821  0.20284165 -2.30850625  1.65184653]",[-20.357111     0.06201172]
1910,"[-0.51609272 -3.3661716  -2.13162661  2.40376616  1.95799279 -0.90889639
  3.35471702 -2.32174587 -1.39183784  0.26767421 -1.80572808 -2.94586515
 -4.21224213 -0.2480222  -1.15341234 -0.79417485]",[-0.7042622 -6.251559 ]
2190,"[-2.16553712 -3.28734493 -2.55454588  1.968822    2.90502214 -0.16184221
  3.87327123 -2.19101906  0.19219446 -0.1111054  -1.47105718 -2.57884741
 -3.59468627  0.21486951 -3.06413341 -0.36421958]",[12.528969 22.768574]
1748,"[-2.9231987  -1.65089524 -3.69225287  2.4311533   2.00379181 -0.25376076
  2.66482782 -0.50996214 -1.6818229  -2.49808574 -2.4672761  -1.11451399
 -4.10132122  0.22286439 -2.60147333 -0.37366757]",[ 3.3025544 26.152061 ]
2272,"[-0.84451121 -0.18922448 -2.65771079  2.78987503  1.25095105 -2.11329675
  3.65272641 -2.53747988 -2.48398709  1.33688462 -1.20488381 -0.11739331
 -4.08967972  1.03368163 -0.44496047 -0.09916105]",[  5.886472 -11.1407  ]
2224,"[-1.35369337 -1.34569442 -2.41933489  2.84140944  1.45073485 -1.72291255
  3.93178916 -2.31287837 -2.2946012   1.66810751 -1.76524997 -0.63360155
 -3.54609537  1.5118252  -1.18067336  0.25937814]",[  5.122114 -10.68897 ]
2179,"[-1.40281582 -1.41418672 -4.61226511  3.95181036  0.14570197  0.18552329
  2.29150581 -4.12782049 -0.99386668  0.13500714 -4.53564644 -0.68832058
 -0.63183248  1.57354403 -5.08856916 -1.55881894]",[15.647885   2.6258767]
2241,"[-0.52034688 -2.42658687 -3.11448765  2.58211017  0.15040636 -0.68796718
  3.80344391 -0.39018467 -1.83473396  1.28598535 -1.11009443 -0.26633728
 -2.37632751  0.14820957 -1.6773212  -0.09905542]",[  1.9218808 -12.804111 ]
1833,"[-1.87033236 -0.57958418 -1.84904218  1.61816311  2.13772416 -0.63320166
  2.85927415  0.30997106 -2.31297922  1.41026688 -0.02795918 -2.91340613
 -5.37757444  0.80513495 -2.2189858   1.45361745]",[-14.206444 -14.496079]
2105,"[-2.54917598 -1.72023678 -2.0419383   3.07065773  1.74481726 -1.81660819
  3.48634887 -0.50841802 -1.8663826   1.0505203  -1.04126811 -2.04816604
 -4.10467148  0.46780568 -1.6318177   0.01386712]",[ -5.4279823 -12.711781 ]
1801,"[-1.75492525  0.24940147 -4.22415066  2.87102938  1.75942659 -0.59519565
  2.02760124 -0.4756884  -3.21347308 -0.5285542  -0.7504766  -0.72380054
 -5.12411118  1.41786194 -1.04940307  1.30779684]",[-9.577982  -2.2484252]
1948,"[-1.07590127 -2.49341202 -2.15065932  2.60793185  1.92175245 -0.91178769
  3.24668884 -1.82734656 -1.60917509  0.72284555 -1.5651406  -2.37127209
 -4.61960316  0.11235078 -1.05597079  0.23272246]",[-1.253438 -6.456248]
1940,"[-1.8272295   0.42547631 -3.8004663   3.83434653  0.93635607 -0.84924346
  1.82354021 -1.04220653 -3.95863032  0.17290561 -1.13214004 -1.96083891
 -4.75248766  0.85986507 -2.03487134  1.69543445]",[-10.314271   -4.5774994]
1692,"[-2.43967128 -2.51334715 -3.54492283  2.10296822  0.68146604 -0.0801544
  2.88798571 -0.64960587 -1.01284873 -2.01597953 -2.5238409  -2.15268421
 -3.02182031 -0.93093431 -3.85553908 -1.34765375]",[10.336512 27.810356]
1950,"[-1.77570963 -1.24122512 -2.43157983  2.33253121  3.16773891 -1.02098906
  2.60017943 -4.04018688 -2.04322362  0.05721647 -2.41887403 -0.87937051
 -3.78099203  1.65411019 -2.4224577   0.26719412]",[ 6.8215795 -5.089156 ]
1752,"[-2.61222076 -1.56439531 -3.41253114  2.44001198  1.54585493  0.01497854
  2.26914811 -0.60756058 -1.44317222 -2.67050862 -2.84177065 -1.76436639
 -3.87993622  0.05402625 -3.30739975 -0.67034483]",[ 4.058025 25.908548]
1980,"[-1.95926154 -1.93065715 -1.42260492  3.0702045   2.51017332 -0.90124261
  3.52917242 -2.92581296 -1.41535056  1.23720324 -2.46007204 -0.5819962
 -3.78658986  3.05185366 -2.63406324  0.47813183]",[ 6.7434316 -3.915208 ]
1616,"[-2.41143584  0.45425573 -4.18719196  3.18237972 -0.20882283 -1.10830414
  2.92527151  1.69635808 -4.04589128 -0.47010908 -0.14733946 -0.98072547
 -4.67075872 -0.4738175  -1.46113801  0.27702972]",[-14.003204   4.043797]
2247,"[-0.71086943 -0.72040838 -2.51593614  2.84689355  0.26214284 -1.65710783
  3.86292863 -1.50636792 -3.07421279  2.22935987 -1.30697882 -0.73463976
 -3.47984171  1.47643113 -0.70748532  0.36931092]",[  5.550626 -12.159231]
1911,"[-2.28653908 -2.8361609  -3.83968401  2.62004375  0.47434604 -0.05634658
  2.56185508 -0.7994507  -0.72474241 -1.43724573 -2.06294513 -3.32617521
 -2.60394979 -1.23845851 -3.84268093 -1.6263808 ]",[12.687046 32.5432  ]
1819,"[-2.96581125  1.55618405 -3.01375842  2.47600675  1.86796463 -0.80623519
  1.9707638   0.00692458 -3.51931882  0.91959769 -0.27070102 -2.09206295
 -5.42891216  1.77783573 -2.48964047  1.92529547]",[-19.878864   -2.1667647]
2172,"[-2.3741188   0.64783722 -0.97096628  4.08661509 -0.05305204 -1.40350485
  2.98585796 -0.99954867 -2.5609653   3.68276501 -2.39480591 -1.68861675
 -2.79762506  2.4548862  -4.40816927  0.40542457]",[ -3.3045077 -21.18312  ]
